 Óbitos por causas externas - Bahia;;;;;
Óbitos por Ocorrência por Município-BA e Grande Grupo CID10;;;;;
Grande Grupo CID10: X60-X84 Lesões autoprovocadas voluntariamente;;;;;
Período:2022;;;;;
Município-BA;CÓDITO DO TI;NOME DO TERRITÓRIO DE IDENTIDADE;Suicídios Geral 0 2022;Suicidios PAF 0 2022;% Suicídios 2022
292280 Nova Itarana;9;Vale do Jiquiriçá;0;0;#DIV/0!
292490 Planaltino;9;Vale do Jiquiriçá;0;0;#DIV/0!
292790 Santa Inês;9;Vale do Jiquiriçá;0;0;#DIV/0!
292940 São Miguel das Matas;9;Vale do Jiquiriçá;2;0;0,0%
293210 Ubaíra;9;Vale do Jiquiriçá;1;0;0,0%
TOTAL TI;9;Vale do Jiquiriçá;19;1;5,3%
290590 Campo Alegre de Lourdes;10;Sertão do São Francisco;0;0;#DIV/0!
290682 Canudos;10;Sertão do São Francisco;1;1;100,0%
290720 Casa Nova;10;Sertão do São Francisco;3;0;0,0%
290990 Curaçá;10;Sertão do São Francisco;1;0;0,0%
291840 Juazeiro;10;Sertão do São Francisco;16;0;0,0%
292440 Pilão Arcado;10;Sertão do São Francisco;2;0;0,0%
292600 Remanso;10;Sertão do São Francisco;3;0;0,0%
293020 Sento Sé;10;Sertão do São Francisco;1;0;0,0%
293077 Sobradinho;10;Sertão do São Francisco;3;0;0,0%
293200 Uauá;10;Sertão do São Francisco;7;0;0,0%
TOTAL TI;10;Sertão do São Francisco;37;1;2,7%
290140 Angical;11;Bacia do Rio Grande;3;0;0,0%
290250 Baianópolis;11;Bacia do Rio Grande;0;0;#DIV/0!
290320 Barreiras;11;Bacia do Rio Grande;16;3;18,8%
290475 Buritirama;11;Bacia do Rio Grande;0;0;#DIV/0!
290740 Catolândia;11;Bacia do Rio Grande;1;0;0,0%
290940 Cotegipe;11;Bacia do Rio Grande;0;0;#DIV/0!
290970 Cristópolis;11;Bacia do Rio Grande;1;0;0,0%
291110 Formosa do Rio Preto;11;Bacia do Rio Grande;1;0;0,0%
291955 Luís Eduardo Magalhães;11;Bacia do Rio Grande;8;0;0,0%
292045 Mansidão;11;Bacia do Rio Grande;0;0;#DIV/0!
292620 Riachão das Neves;11;Bacia do Rio Grande;7;1;14,3%
292840 Santa Rita de Cássia;11;Bacia do Rio Grande;2;1;50,0%
292890 São Desidério;11;Bacia do Rio Grande;0;0;#DIV/0!
293345 Wanderley;11;Bacia do Rio Grande;2;1;50,0%
TOTAL TI;11;Bacia do Rio Grande;41;6;14,6%
290410 Boquira;12;Bacia do Paramirim;1;0;0,0%
290420 Botuporã;12;Bacia do Paramirim;0;0;#DIV/0!
290755 Caturama;12;Bacia do Paramirim;1;0;0,0%
290050 Érico Cardoso;12;Bacia do Paramirim;0;0;#DIV/0!
291250 Ibipitanga;12;Bacia do Paramirim;1;0;0,0%
291980 Macaúbas;12;Bacia do Paramirim;4;0;0,0%
292360 Paramirim;12;Bacia do Paramirim;3;1;33,3%
292690 Rio do Pires;12;Bacia do Paramirim;2;0;0,0%
TOTAL TI;12;Bacia do Paramirim;12;1;8,3%
290460 Brumado;13;Sertão Produtivo;7;0;0,0%
290500 Caculé;13;Sertão Produtivo;5;0;0,0%
290520 Caetité;13;Sertão Produtivo;2;0;0,0%
290660 Candiba;13;Sertão Produtivo;1;0;0,0%
290880 Contendas do Sincorá;13;Sertão Produtivo;0;0;#DIV/0!
291010 Dom Basílio;13;Sertão Produtivo;0;0;#DIV/0!
291170 Guanambi;13;Sertão Produtivo;16;0;0,0%
291200 Ibiassucê;13;Sertão Produtivo;0;0;#DIV/0!
291720 Ituaçu;13;Sertão Produtivo;5;0;0,0%
291733 Iuiú;13;Sertão Produtivo;0;0;#DIV/0!
291875 Lagoa Real;13;Sertão Produtivo;1;0;0,0%
291950 Livramento de Nossa Senhora;13;Sertão Produtivo;3;0;0,0%
292030 Malhada de Pedras;13;Sertão Produtivo;2;0;0,0%
292340 Palmas de Monte Alto;13;Sertão Produtivo;0;0;#DIV/0!
292450 Pindaí;13;Sertão Produtivo;0;0;#DIV/0!
292680 Rio do Antônio;13;Sertão Produtivo;0;1;#DIV/0!
293000 Sebastião Laranjeiras;13;Sertão Produtivo;2;0;0,0%
293100 Tanhaçu;13;Sertão Produtivo;5;0;0,0%
293105 Tanque Novo;13;Sertão Produtivo;1;0;0,0%
293260 Urandi;13;Sertão Produtivo;2;0;0,0%
TOTAL TI;13;Sertão Produtivo;52;1;1,9%
290380 Boa Vista do Tupim;14;Piemonte do Paraguaçu;2;0;0,0%
291190 Iaçu;14;Piemonte do Paraguaçu;3;0;0,0%
291260 Ibiquera;14;Piemonte do Paraguaçu;1;1;100,0%
291470 Itaberaba;14;Piemonte do Paraguaçu;4;0;0,0%
291685 Itatim;14;Piemonte do Paraguaçu;2;0;0,0%
291900 Lajedinho;14;Piemonte do Paraguaçu;1;0;0,0%
291960 Macajuba;14;Piemonte do Paraguaçu;0;0;#DIV/0!
292210 Mundo Novo;14;Piemonte do Paraguaçu;5;0;0,0%
292480 Piritiba;14;Piemonte do Paraguaçu;0;0;#DIV/0!
292595 Rafael Jambeiro;14;Piemonte do Paraguaçu;0;0;#DIV/0!
292720 Ruy Barbosa;14;Piemonte do Paraguaçu;2;0;0,0%
292850 Santa Teresinha;14;Piemonte do Paraguaçu;1;0;0,0%
293130 Tapiramutá;14;Piemonte do Paraguaçu;2;0;0,0%
TOTAL TI;14;Piemonte do Paraguaçu;23;1;4,3%
290260 Baixa Grande;15;Bacia do Jacuípe;1;0;0,0%
290685 Capela do Alto Alegre;15;Bacia do Jacuípe;0;0;#DIV/0!
290687 Capim Grosso;15;Bacia do Jacuípe;3;1;33,3%
291125 Gavião;15;Bacia do Jacuípe;1;0;0,0%
291400 Ipirá;15;Bacia do Jacuípe;2;1;50,0%
292010 Mairi;15;Bacia do Jacuípe;1;1;100,0%
292273 Nova Fátima;15;Bacia do Jacuípe;2;0;0,0%
292405 Pé de Serra;15;Bacia do Jacuípe;0;0;#DIV/0!
292465 Pintadas;15;Bacia do Jacuípe;0;0;#DIV/0!
292593 Quixabeira;15;Bacia do Jacuípe;0;0;#DIV/0!
292630 Riachão do Jacuípe;15;Bacia do Jacuípe;0;0;#DIV/0!
292937 São José do Jacuípe;15;Bacia do Jacuípe;0;0;#DIV/0!
293040 Serra Preta;15;Bacia do Jacuípe;0;0;#DIV/0!
293305 Várzea da Roça;15;Bacia do Jacuípe;0;0;#DIV/0!
293310 Várzea do Poço;15;Bacia do Jacuípe;1;0;0,0%
TOTAL TI;15;Bacia do Jacuípe;11;3;27,3%
290510 Caém;16;Piemonte da Diamantina;1;0;0,0%
291750 Jacobina;16;Piemonte da Diamantina;7;3;42,9%
292120 Miguel Calmon;16;Piemonte da Diamantina;2;0;0,0%
292140 Mirangaba;16;Piemonte da Diamantina;0;0;#DIV/0!
292335 Ourolândia;16;Piemonte da Diamantina;2;0;0,0%
292980 Saúde;16;Piemonte da Diamantina;1;0;0,0%
293060 Serrolândia;16;Piemonte da Diamantina;1;0;0,0%
