; Óbitos por causas externas - Bahia;;;;;
;Óbitos por Ocorrência por Município-BA e Grande Grupo CID10;;;;;
;Grande Grupo CID10: X60-X84 Lesões autoprovocadas voluntariamente;;;;;
;Categoria CID10: X72   Lesao autoprov intenc disp arma fogo de mao, X73   Les autoprov int disp arm fog maior calibre, X74   Lesao autopr intenc disp outr arma fogo e NE;;;;;
;Período:2022;;;;;
;Município-BA;Suicídios PAF_2022;Suicídios PAF_Total_2022;%;CÓDITO DO TI;NOME DO TERRITÓRIO DE IDENTIDADE
290890;Coração de Maria;0;0;#DIV/0!;19;Portal do Sertão
290900;Cordeiros;0;0;#DIV/0!;20;Sudoeste Baiano
290910;Coribe;0;2;0,0%;23;Bacia do Rio Corrente
290920;Coronel João Sá;0;2;0,0%;17;Semiárido Nordeste II
290930;Correntina;2;3;66,7%;23;Bacia do Rio Corrente
290940;Cotegipe;0;0;#DIV/0!;11;Bacia do Rio Grande
290950;Cravolândia;0;1;0,0%;9;Vale do Jiquiriçá
290960;Crisópolis;0;3;0,0%;18;Litoral Norte e Agreste Baiano
290970;Cristópolis;0;1;0,0%;11;Bacia do Rio Grande
290980;Cruz das Almas;0;6;0,0%;21;Recôncavo
290990;Curaçá;0;1;0,0%;10;Sertão do São Francisco
291000;Dário Meira;0;0;#DIV/0!;22;Médio Rio de Contas
291005;Dias d'Ávila;0;1;0,0%;26;Metropolitano de Salvador
291010;Dom Basílio;0;0;#DIV/0!;13;Sertão Produtivo
291020;Dom Macedo Costa;0;0;#DIV/0!;21;Recôncavo
291030;Elísio Medrado;0;0;#DIV/0!;9;Vale do Jiquiriçá
291040;Encruzilhada;0;2;0,0%;20;Sudoeste Baiano
291050;Entre Rios;2;3;66,7%;18;Litoral Norte e Agreste Baiano
290050;Érico Cardoso;0;0;#DIV/0!;12;Bacia do Paramirim
291060;Esplanada;0;1;0,0%;18;Litoral Norte e Agreste Baiano
291070;Euclides da Cunha;0;7;0,0%;17;Semiárido Nordeste II
291072;Eunápolis;0;7;0,0%;27;Costa do Descobrimento
291075;Fátima;0;2;0,0%;17;Semiárido Nordeste II
291077;Feira da Mata;0;0;#DIV/0!;2;Velho Chico
291080;Feira de Santana;0;29;0,0%;19;Portal do Sertão
291085;Filadélfia;0;0;#DIV/0!;25;Piemonte Norte do Itapicuru
291090;Firmino Alves;0;1;0,0%;8;Médio Sudoeste da Bahia
291100;Floresta Azul;0;0;#DIV/0!;5;Litoral Sul
291110;Formosa do Rio Preto;0;1;0,0%;11;Bacia do Rio Grande
291120;Gandu;0;1;0,0%;6;Baixo Sul
291125;Gavião;0;1;0,0%;15;Bacia do Jacuípe
291130;Gentio do Ouro;0;1;0,0%;1;Irecê
291140;Glória;0;0;#DIV/0!;24;Itaparica
291150;Gongogi;0;0;#DIV/0!;22;Médio Rio de Contas
291160;Governador Mangabeira;0;3;0,0%;21;Recôncavo
291165;Guajeru;0;0;#DIV/0!;20;Sudoeste Baiano
291170;Guanambi;1;16;6,3%;13;Sertão Produtivo
291180;Guaratinga;0;0;#DIV/0!;27;Costa do Descobrimento
291185;Heliópolis;0;0;#DIV/0!;17;Semiárido Nordeste II
291190;Iaçu;1;3;33,3%;14;Piemonte do Paraguaçu
291200;Ibiassucê;0;0;#DIV/0!;13;Sertão Produtivo
291210;Ibicaraí;0;4;0,0%;5;Litoral Sul
291220;Ibicoara;0;2;0,0%;3;Chapada Diamantina
291230;Ibicuí;0;0;#DIV/0!;8;Médio Sudoeste da Bahia
291240;Ibipeba;0;2;0,0%;1;Irecê
291250;Ibipitanga;0;1;0,0%;12;Bacia do Paramirim
291260;Ibiquera;0;1;0,0%;14;Piemonte do Paraguaçu
291270;Ibirapitanga;0;0;#DIV/0!;6;Baixo Sul
291280;Ibirapuã;0;0;#DIV/0!;7;Extremo Sul
291290;Ibirataia;0;2;0,0%;22;Médio Rio de Contas
291300;Ibitiara;1;4;25,0%;3;Chapada Diamantina
291310;Ibititá;0;0;#DIV/0!;1;Irecê
291320;Ibotirama;0;2;0,0%;2;Velho Chico
291330;Ichu;0;2;0,0%;4;Sisal
291340;Igaporã;0;1;0,0%;2;Velho Chico
291345;Igrapiúna;0;1;0,0%;6;Baixo Sul
291350;Iguaí;0;1;0,0%;8;Médio Sudoeste da Bahia
291360;Ilhéus;0;16;0,0%;5;Litoral Sul
291370;Inhambupe;0;3;0,0%;18;Litoral Norte e Agreste Baiano
291380;Ipecaetá;0;0;#DIV/0!;19;Portal do Sertão
291390;Ipiaú;0;1;0,0%;22;Médio Rio de Contas
291400;Ipirá;1;2;50,0%;15;Bacia do Jacuípe
291410;Ipupiara;0;1;0,0%;1;Irecê
291420;Irajuba;0;0;#DIV/0!;9;Vale do Jiquiriçá
291430;Iramaia;0;1;0,0%;3;Chapada Diamantina
291440;Iraquara;0;4;0,0%;3;Chapada Diamantina
291450;Irará;0;0;#DIV/0!;19;Portal do Sertão
291460;Irecê;1;12;8,3%;1;Irecê
291465;Itabela;0;0;#DIV/0!;27;Costa do Descobrimento
291470;Itaberaba;0;4;0,0%;14;Piemonte do Paraguaçu
291480;Itabuna;0;2;0,0%;5;Litoral Sul
291490;Itacaré;0;2;0,0%;5;Litoral Sul
291500;Itaeté;1;1;100,0%;3;Chapada Diamantina
291510;Itagi;0;1;0,0%;22;Médio Rio de Contas
291520;Itagibá;0;0;#DIV/0!;22;Médio Rio de Contas
291530;Itagimirim;0;0;#DIV/0!;27;Costa do Descobrimento
291535;Itaguaçu da Bahia;0;0;#DIV/0!;1;Irecê
291540;Itaju do Colônia;0;0;#DIV/0!;5;Litoral Sul
291550;Itajuípe;0;1;0,0%;5;Litoral Sul
291560;Itamaraju;1;3;33,3%;7;Extremo Sul
291570;Itamari;0;0;#DIV/0!;22;Médio Rio de Contas
291580;Itambé;0;1;0,0%;8;Médio Sudoeste da Bahia
